statusId,userId,status
1,1,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
2,2,"If cats could talk, they would probably always be correcting your grammar."
3,3,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
4,4,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
5,5,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
6,6,"At any given time my wallet is worth more than its contents."
7,7,"I really like this site. Nice features #saidnooneever"
8,8,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
9,9,"If cats could talk, they would probably always be correcting your grammar."
10,10,"At any given time my wallet is worth more than its contents."
11,11,"At any given time my wallet is worth more than its contents."
12,12,"My weakness is that I care too much. Also, spalling"
13,13,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
14,14,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
15,15,"If cats could talk, they would probably always be correcting your grammar."
16,16,"I really like this site. Nice features #saidnooneever"
17,17,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
18,18,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
19,19,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
20,20,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
21,21,"Your choices today are: live your life now or live with regret later."
22,22,"If cats could talk, they would probably always be correcting your grammar."
23,23,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
24,24,"My weakness is that I care too much. Also, spalling"
25,25,"My weakness is that I care too much. Also, spalling"
26,26,"Why are there no Knock Knock jokes about America? Because Freedom rings."
27,27,"My weakness is that I care too much. Also, spalling"
28,28,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
29,29,"Why are there no Knock Knock jokes about America? Because Freedom rings."
30,30,"If cats could talk, they would probably always be correcting your grammar."
31,31,"We all have to make sacrifices. I think we should start with you."
32,32,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
33,33,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
34,34,"Your choices today are: live your life now or live with regret later."
35,35,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
36,36,"Why are there no Knock Knock jokes about America? Because Freedom rings."
37,37,"At any given time my wallet is worth more than its contents."
38,38,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
39,39,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
40,40,"My weakness is that I care too much. Also, spalling"
41,41,"Your choices today are: live your life now or live with regret later."
42,42,"Your choices today are: live your life now or live with regret later."
43,43,"I really like this site. Nice features #saidnooneever"
44,44,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
45,45,"My weakness is that I care too much. Also, spalling"
46,46,"My weakness is that I care too much. Also, spalling"
47,47,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
48,48,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
49,49,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
50,50,"At any given time my wallet is worth more than its contents."
51,51,"I really like this site. Nice features #saidnooneever"
52,52,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
53,53,"My weakness is that I care too much. Also, spalling"
54,54,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
55,55,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
56,56,"I really like this site. Nice features #saidnooneever"
57,57,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
58,58,"Why are there no Knock Knock jokes about America? Because Freedom rings."
